Stock Name,Day_Change_Percent,Previous_Close,Current_Price,Day_Low,Day_High,Low_52W,High_52W,Percent_Below_High,Suggestion,Market_Cap_Cr,Market_Cap,Industry,Stock_Name,Stock_Symbol,RSI,From_52W_High,Divergence_Signal
INDIAN OIL CORPORATION LIMITED (XNSE:IOC),-0.54,161.17,160.3,159.61,161.94,110.72,174.5,8.14,WATCH,227592,,Oil & Gas,,,,,
INDIA PESTICIDES LIMITED. (XNSE:IPL),-0.82,175.33,173.9,172.35,177.4,119.79,245.84,29.26,WATCH,2019,,Chemicals,,,,,
Ircon International Ltd (XNSE:IRCON),4.69,170.7,178.71,169.0,186.44,134.24,229.5,22.13,FIRST MC BUY,16055,,Construction & Engineering,,,,,
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED (XNSE:IRCTC),3.8,679.65,705.5,678.8,712.55,656.0,831.75,15.18,FIRST HMC BUY,54372,,Passenger Transportation Services,,,,,
INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED (XNSE:IREDA),2.09,138.1,140.99,137.21,143.3,129.11,234.29,39.82,MC BUY,39607,,Banking Services,,,,,
INDIAN RAILWAY FINANCE CORPORATION LIMITED (XNSE:IRFC),10.0,121.49,133.64,121.86,134.59,108.04,158.0,15.42,LC BUY,158769,,Banking Services,,,,,
Nippon India ETF Nifty IT (XNSE:ITBEES),-0.91,42.73,42.34,42.3,42.9,33.63,48.33,12.39,WATCH,3080,,#VALUE!,,,,,
ITC LIMITED (XNSE:ITC),-0.6,406.6,404.15,403.85,407.15,390.15,471.5,14.28,SURE HLC BUY,509428,,Food & Tobacco,,,,,
ITC HOTELS LIMITED (XNSE:ITCHOTELS),1.61,195.35,198.49,193.6,199.29,155.1,261.62,24.13,HMC BUY,40689,,Hotels & Entertainment Services,,,,,
JIO FINANCIAL SERVICES LIMITED (XNSE:JIOFIN),-0.65,298.9,296.95,296.15,299.8,198.65,338.6,12.3,LC BUY,189895,,Banking Services,,,,,
JK PAPER LIMITED (XNSE:JKPAPER),0.01,364.0,364.05,361.8,367.0,275.75,444.8,18.15,WATCH,6166,,Paper & Forest Products,,,,,
Jubilant FoodWorks Limited (XNSE:JUBLFOOD),-0.68,563.65,559.8,555.0,565.95,548.4,796.75,29.74,FIRST MC BUY,36807,,Hotels & Entertainment Services,,,,,
KOTAK MAHINDRA BANK LIMITED (XNSE:KOTAKBANK),0.02,2163.7,2164.2,2152.9,2173.6,1723.75,2301.9,5.98,WATCH,430381,,Banking Services,,,,,
KPIT TECHNOLOGIES LIMITED (XNSE:KPITTECH),-0.67,1217.3,1209.2,1205.0,1236.2,1020.6,1500.0,19.39,WATCH,33118,,Software & IT Services,,,,,
DR. LAL PATHLABS Limited (XNSE:LALPATHLAB),-0.23,1407.8,1404.5,1387.6,1433.9,1146.78,1770.0,20.65,FIRST MC BUY,23544,,Healthcare Providers & Services,,,,,
LATENT VIEW ANALYTICS LIMITED (XNSE:LATENTVIEW),-0.6,463.75,460.95,459.4,469.8,341.2,517.5,10.93,WATCH,9596,,Stock,,,,,
Life Insurance Corporation of India (XNSE:LICI),-0.49,853.9,849.75,844.8,851.4,715.3,980.0,13.29,SURE HLC BUY,540092,,Insurance,,,,,
LODHA DEVELOPERS LIMITED (XNSE:LODHA),-0.61,1080.1,1073.5,1069.7,1085.0,1035.15,1531.0,29.88,SURE LC BUY,107875,,Real Estate Operations,,,,,
LARSEN AND TOUBRO LIMITED (XNSE:LT),-0.16,4053.6,4047.3,4030.2,4061.5,2965.3,4140.0,2.24,WATCH,556739,,Construction & Engineering,,,,,
LTIMINDTREE LIMITED (XNSE:LTIM),-2.07,6163.0,6035.5,6020.0,6174.5,3802.0,6380.0,5.4,WATCH,182714,,Software & IT Services,,,,,
L&T TECHNOLOGY SERVICES LIMITED (XNSE:LTTS),-1.95,4608.1,4518.3,4509.0,4643.0,3951.3,5645.0,19.96,FIRST HMC BUY,48841,,Construction & Engineering,,,,,
MARUTI SUZUKI INDIA LIMITED (XNSE:MARUTI),-0.64,16703.0,16596.0,16516.0,16703.0,10725.0,16720.0,0.74,WATCH,521783,,Automobiles & Auto Parts,,,,,
