symbol,rev_growth_score,pat_growth_score,roe_score,de_score,promoter_score,pe,pb,roe_pct,de_ratio,rev_growth_pct,pat_growth_pct,promoter_pct,eps,book_value,market_cap,last_updated,source
LUPIN,6,6,5,3,2,19.54,4.63,23.71,0.3,0.46,0.46,46.7,116.47,491.29,1040806182912.0,2026-05-27,yfinance
M&M,3,3,4,2,3,20.5,3.75,18.28,0.4,0.46,0.46,58.9,152.26,833.12,3748299538432.0,2026-05-27,yfinance
MAHABANK,7,6,5,2,2,8.78,1.85,21.1,0.0,-0.12,-0.12,0.0,9.12,43.22,615939702784.0,2026-05-27,yfinance
MARICO,7,6,6,3,3,61.26,25.47,41.58,0.1,0.46,0.46,59.2,13.61,32.73,1080440324096.0,2026-05-27,yfinance
MARUTI,3,3,2,3,3,28.66,3.92,13.68,0.1,1.18,1.18,58.2,466.24,3408.27,4201675751424.0,2026-05-27,yfinance
MOTHERSON,7,6,2,2,1,39.02,4.07,10.42,0.8,4.85,4.85,34.7,3.65,35.02,1499752562688.0,2026-05-27,yfinance
NAUKRI,2,2,1,2,2,44.98,1.34,2.98,0.0,2.54,2.54,0.0,22.36,751.29,651397169152.0,2026-05-27,yfinance
NESTLEIND,7,6,6,3,3,78.69,53.38,67.83,0.1,-0.08,-0.08,62.8,18.14,26.74,2752668762112.0,2026-05-27,yfinance
NTPC,7,6,2,1,3,13.08,1.9,14.53,1.2,2.17,2.17,51.1,30.44,209.44,3860727857152.0,2026-05-27,yfinance
ONGC,5,5,2,2,3,8.32,0.93,11.14,0.4,-4.68,-4.68,58.9,32.92,295.5,3447625351168.0,2026-05-27,yfinance
PFC,6,6,4,2,2,5.52,1.08,19.5,0.0,-0.05,-0.05,0.0,78.5,402.63,1430593994752.0,2026-05-27,yfinance
PIDILITIND,6,6,6,3,3,61.82,15.78,25.52,0.1,0.15,0.15,69.9,23.95,93.85,1507019980800.0,2026-05-27,yfinance
POWERGRID,6,6,4,1,3,14.91,2.78,18.62,1.4,2.6,2.6,51.3,20.13,108.09,2791576174592.0,2026-05-27,yfinance
RELIANCE,2,2,1,2,3,22.63,2.02,8.93,0.6,-0.43,-0.43,50.3,59.68,668.0,18275603841024.0,2026-05-27,yfinance
SBILIFE,3,3,2,3,3,75.58,9.83,13.01,0.1,-0.99,-0.99,55.5,24.67,189.62,1870413299712.0,2026-05-27,yfinance
SBIN,5,5,2,1,3,10.62,1.51,14.21,1.3,-0.07,-0.07,57.5,91.14,641.36,8933391466496.0,2026-05-27,yfinance
SHRIRAMFIN,6,6,4,0,1,18.1,2.75,15.19,2.4,1.16,1.16,25.4,53.23,350.44,2266246414336.0,2026-05-27,yfinance
SIEMENS,7,6,2,2,3,81.76,10.43,12.76,0.0,5.48,5.48,75.0,47.44,371.81,1381284577280.0,2026-05-27,yfinance
SUNPHARMA,7,6,2,3,3,38.54,5.68,14.75,0.2,0.19,0.19,54.5,47.86,324.46,4425093480448.0,2026-05-27,yfinance
TATACHEM,5,5,3,2,2,0.0,0.88,0.0,0.0,-1.19,-1.19,0.0,-74.39,876.78,197321474048.0,2026-05-27,yfinance
TATACONSUM,6,6,1,3,1,77.42,5.86,7.57,0.3,1.43,1.43,34.7,15.56,205.42,1192030371840.0,2026-05-27,yfinance
TATAMOTORS,3,3,3,1,2,0.0,0.0,0.0,1.2,3.98,3.98,46.4,0.0,0.0,0.0,2026-05-27,AO-FULL-quote
TATASTEEL,7,6,1,1,1,29.21,2.82,9.64,1.4,2.01,2.01,33.2,7.35,76.22,2677705801728.0,2026-05-27,yfinance
TCS,2,2,6,3,3,16.78,7.28,43.39,0.1,0.35,0.35,71.7,136.12,313.73,8264435105792.0,2026-05-27,yfinance
TECHM,3,3,4,3,2,26.9,4.69,17.44,0.2,-0.21,-0.21,35.2,54.12,310.38,1289251848192.0,2026-05-27,yfinance
TITAN,6,6,6,3,3,72.51,28.66,39.53,0.1,0.78,0.78,52.9,57.07,144.38,3670504374272.0,2026-05-27,yfinance
TRENT,3,3,5,3,2,87.91,21.62,24.6,0.1,0.21,0.21,37.0,48.33,196.47,1510324043776.0,2026-05-27,yfinance
